data_bulan,data_tahun,nama,id_tps,alamat,kecamatan,kelurahan,jenis_fasilitas,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kapasitas,vol_masuk,vol_dikelola,volume_sampah_diolah,vol_diangkut,waktu_angkut
3,2025,TPS Dinoyo,17,Jl. Siliwangi,Kec. Tegalsari,Kel. Keputran,TPS,0,TPS,compactor,,aktif,28,28,28,28,28,1
3,2025,TPS Taman Ketampon,18,Jl. Taman Ketampon,Kec. Wonokromo,Kel. Darmo,TPS,0,TPS,compactor,,aktif,23,23,23,23,23,1
3,2025,TPS Pasar Keputran,19,Jl. Keputran Utara,Kec. Tegalsari,Kel. Keputran,TPS,0,TPS,compactor,,aktif,14,14,14,14,14,1
3,2025,TPS Tubanan,20,Jl. Tubanan,Kec. Tandes,Kel. Karangpoh,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Karangpoh,21,Jl. Darmo Indah Barat II,Kec. Tandes,Kel. Karangpoh,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Balongsari,22,Jl. Balongsari,Kec. Tandes,Kel. Balongsari,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Manukan Wetan,23,Jl. Sikatan,Kec. Tandes,Kel. Manukan Wetan,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS Manukan Kulon,24,Jl. Manukan Kulon,Kec. Tandes,Kel. Manukan Kulon,TPS,0,TPS,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS Manukan Telaga,25,Jl. Manukan Peni VII,Kec. Tandes,Kel. Manukan Wetan,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Buntaran,26,Jl. Buntaran,Kec. Tandes,Kel. Manukan Wetan,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Darmo Indah,27,Jl. Darmo Indah,Kec. Tandes,Kel. Tandes,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Griya Citra Asri,28,Jl. Perum Griya Citra Asri,Kec. Benowo,Kel. Kandangan,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS Tengger,29,Jl. Tengger Raya,Kec. Tandes,Kel. Banjar Sugihan,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Kandangan,30,"Jl, Kandangan",Kec. Benowo,Kel. Kandangan,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Kendung Makam,32,Jl. Sememi,Kec. Sememi,Kel. Sememi,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Kendung BDH,33,Jl. Raya Kendung Benowo,Kec. Sememi,Kel. Sememi,TPS,0,TPS,compactor,,aktif,19.8,19.8,19.8,19.8,19.8,1
3,2025,TPS Bandarejo Sememi,34,Jl. Bandarejo Pasar Sememi,Kec. Benowo,Kel. Sememi,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Romokalisari,35,Jl. Romokalisari,Kec. Romokalisari,Kel. Romokalisari,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS Rusunawa Romokalisari,36,Jl. Rusunawa Romokalisari,Kec. Benowo,Kel. Romokalisari,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Babat Jerawat,37,Jl. Dukuh Jerawat,Kec. Benowo,Kel. Babat Jerawat,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Langkir,38,Jl. Sendang Bulu,Kec. Benowo,Kel. Babat Jerawat,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Pondok Benowo Indah,39,Perum Pondok Benowo Indah,Kec. Pakal,Kel. Babat Jerawat,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Pasar Benowo,40,Jl. Raya Benowo,Kec. Pakal,Kel. Benowo,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Benowo Krajan,41,jl. benowo krajan,Kec. Pakal,Kel. Benowo,TPS,0,tps,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS JURANG KUPING,42,JL. JURANG INDAH,Kec. Pakal,Kel. Pakal,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS SUMBEREJO MAKAM,43,JL. SUMBEREJO 2,Kec. Pakal,Kel. Sumberejo,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS SUMBEREJO KRENUK,44,JL. KRENUK SUMBEREJO,Kec. Pakal,Kel. Sumberejo,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS PAKAL TIMUR,45,JL. PAKAL SUMBERAN,Kec. Pakal,Kel. Pakal,TPS,0,LANDASAN,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS PAKAL MADYA,46,JL. PAKAL MADYA,Kec. Pakal,Kel. Pakal,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS LEMPUNG PERDANA,47,JL LONTAR,Kec. Sambikerep,Kel. Lontar,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS CANDI LONTAR,48,JL. LEMPUNG SARI,Kec. Sambikerep,Kel. Lontar,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS SAWO,49,JL SAWO 6,Kec. Sambikerep,Kel. Bringin,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS BRINGIN,50,JL. BRINGIN,Kec. Sambikerep,Kel. Bringin,TPS,0,TPS,compactor,,aktif,14,14,14,14,14,1
3,2025,TPS ALAS MALANG,51,JL. ALAS MALANG,Kec. Sambikerep,Kel. Bringin,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS KUWUKAN,52,JL. KUWUKAN SAMBIKEREP,Kec. Sambikerep,Kel. Sambikerep,TPS,0,LANDASAN,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS LAKARSANTRI,53,JL. LAKARSANTRI,Kec. Lakarsantri,Kel. Lakarsantri,TPS,0,TPS,compactor,,aktif,28,28,28,28,28,1
3,2025,TPS WISMA LIDAH KULON,54,PERUM WISMA LIDAH KULON,Kec. Lakarsantri,Kel. Lidah Kulon,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS LIDAH KULON (Pengganti),55,JL. Raya Lidah Kulon,Kec. Lakarsantri,Kel. Lidah Kulon,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS LIDAH WETAN UNESA,56,JL. WADUK UNESA,Kec. Lakarsantri,Kel. Lidah Wetan,TPS,0,LANDASAN,compactor,,aktif,28,28,28,28,28,1
3,2025,TPS ASPOL BANGKINGAN,57,JL. RAYA BANGKINGAN (ASPOL),Kec. Lakarsantri,Kel. Bangkingan,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS SUMUR WELUT,58,JL. SUMBERAN SUMUR WELUT,Kec. Lakarsantri,Kel. Sumur Welut,TPS,0,TPS,compactor,,aktif,14,14,14,14,14,1
3,2025,TPS Sukomanunggal,59,Jl. Suko Manunggal,Kec. Sukomanunggal,Kel. Sukomanunggal,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Simohilir,60,Jl. Simo Hilir,Kec. Sukomanunggal,Kel. Simo Mulyo,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS Simorukun,61,Jl. Simo Mulyo,Kec. Sukomanunggal,Kel. Simo Mulyo,TPS,0,TPS,armroll,,aktif,33,33,33,33,33,1
3,2025,TPS WISMA PERMAI,143,JL. WISMA PERMAI,Kec. Mulyorejo,Kel. Kalisari,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS PUTAT GEDE,62,JL. PUTAT GEDE BARAT,Kec. Sukomanunggal,Kel. Putat Gede,TPS,0,TPS,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS Sutorejo,144,Jl. Sutorejo,Kec. Mulyorejo,Kel. Dukuh Sutorejo,TPS,0,TPS,compactor,,aktif,33,33,33,33,33,1
3,2025,TPS Kalijudan,145,Jl. Kalijudan,Kec. Mulyorejo,Kel. Kalijudan,TPS,0,TPS,compactor,,aktif,28,28,28,28,28,1
3,2025,TPS SONOKWIJENAN,63,JL. SONOKWIJENAN,Kec. Sukomanunggal,Kel. Sonokwijenan,TPS,0,TPS,compactor,,aktif,28,28,28,28,28,1
3,2025,TPS Bukit Barisan,146,Jl. Bukit Barisan,Kec. Sawahan,Kel. Petemon,TPS,0,TPS,compactor,,aktif,59.4,59.4,59.4,59.4,59.4,1
3,2025,TPS PASAR ASEMROWO,64,JL. ASEMRAYA,Kec. Asemrowo,Kel. Asemrowo,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS JAYAMIX,65,JL. DUPAK RUKUN,Kec. Asemrowo,Kel. Asemrowo,TPS,0,TPS,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS GENTING,66,JL. GENTING,Kec. Asemrowo,Kel. Asemrowo,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS GREGES,67,JL. GREGES KALIANAK,Kec. Asemrowo,Kel. Tambaksarioso,TPS,0,LANDASAN,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS PETEMON KUBURAN,147,JL. PETEMON KUBURAN,Kec. Sawahan,Kel. Petemn,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,TPS Kembang Kuning,148,Jl. Kembang Kuning,Kec. Sawahan,Kel. Darmo,TPS,0,TPS,compactor,,aktif,42,42,42,42,42,1
3,2025,TPS Simo Katrungan,149,Jl. Simo Katrungan,Kec. Sawahan,Kel. Banyu Urip,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,LANDASAN BINTANG DIPONGGO,68,JL. BINTANG DIPONGGO,Kec. Sawahan,Kel. Pakis,TPS,0,LANDASAN,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS DUPAK BANDAREJO,69,DUPAK BNDAREJO,Kec. Krembangan,Kel. Dupak,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS SIMO KWAGEAN (MATARAM UTARA),150,JL. MAKAM PUTAT,Kec. Sawahan,Kel. Putat Jaya,TPS,0,TPS,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS DUPAK BANGUNSARI,70,DUPAK BANGUNSARI,Kec. Krembangan,Kel. Dupak,TPS,0,TPS,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS MAKAM MATARAM,151,JL. MAKAM PUTAT JAYA,Kec. Sawahan,Kel. Putat Jaya,TPS,0,TPS,armroll,,aktif,56,56,56,56,56,1
3,2025,TPS Joyoboyo,152,Jl. Joyoboyo Gunungsari,Kec. Wonokromo,Kel. Sawunggaling,TPS,0,TPS,compactor,,aktif,26.4,26.4,26.4,26.4,26.4,1
3,2025,TPS WONOBOYO,153,JL. WONOBOYO BATANGHARI,Kec. Wonokromo,Kel. Swunggaling,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS Mbah Ratu,71,Jl. Gresik,Kec. Krembangan,Kel. Morokrembangan,TPS,0,TPS,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS BRIMOB PPI,72,JL. SEDAYU 2,Kec. Krembangan,Kel. Morokrembangan,TPS,0,TPS,armroll,,aktif,8,8,8,8,8,1
3,2025,LANDASAN TAMBAK ASRI,73,JL. TAMBAK ASRI,Kec. Asemrowo,Kel. Genting Kalianak,TPS,0,LANDASAN,armroll,,aktif,14,14,14,14,14,1
3,2025,TPS TANJUNG SADARI,74,JL. TANJUNG SADARI,Kec. Krembangan,Kel. Perak Barat,TPS,0,TPS,armroll,,aktif,28,28,28,28,28,1
3,2025,TPS KREMBANGAN BARAT,75,JL.KREMBANGAN BARAT,Kec. Krembangan,Kel. Krembangan Selatan,TPS,0,TPS,compactor,,aktif,42,42,42,42,42,1
