Nama,Alamat,Kelurahan,Kecamatan,Kapasitas,Volume Masuk,Volume Dikelola,Volume Sampah Diolah,Volume Diangkut,Latitude,Longitude
TPS Pasar Asemrowo,Jl. Asemraya,Asemrowo,Asemrowo,8,8,8,8,8,-7.2434243,112.7034273
TPS Jayamix,Jl. Dupak Rukun,Asemrowo,Asemrowo,28,28,28,28,28,-7.2434243,112.7034273
TPS Genting,Jl. Genting,Asemrowo,Asemrowo,14,14,14,14,14,-7.2434243,112.7034273
Landasan Tambak Asri,Jl. Tambak Asri,Genting Kalianak,Asemrowo,14,14,14,14,14,-7.2366584,112.7058987
TPS Greges,Jl. Greges Kalianak,Tambak Sarioso,Asemrowo,14,14,14,14,14,-7.2364589,112.6811871
TPS Kandangan,Jl. Kandangan,Kandangan,Benowo,14,14,14,14,14,-7.2495909,112.6502826
TPS Griya Citra Asri,Jl. Perum Griya Citra Asri,Kandangan,Benowo,8,8,8,8,8,-7.2495909,112.6502826
TPS Rusunawa Romokalisari,Jl. Rusunawa Romokalisari,Romokalisari,Benowo,14,14,14,14,14,-7.2049763,112.6394385
TPS Bandarejo Sememi,Jl. Bandarejo Pasar Sememi,Sememi,Benowo,14,14,14,14,14,-7.2465629,112.6420176
Pemilahan TPS 3R Tambak Oso Wilangun,Jl. Tambak Oso Wilangun,Tambak Oso Wilangun,Benowo,20,1175,1175,466,0,-7.2190708,112.6544175
TPS Sulung Kali,Jl. Sulung Kali,Alon Alon Contong,Bubutan,26.4,26.4,26.4,26.4,26.4,-7.2500402,112.737988
TPS Penghela,Jl. Penghela,Bubutan,Bubutan,33,33,30,33,33,-7.2501071,112.7330795
TPS Pirngadi,Jl. Pirngadi,Bubutan,Bubutan,28,28,28,28,28,-7.2501071,112.7330795
TPS Dupak Prahu,Jl. Babadan Dupak,Jepara,Bubutan,28,28,28,28,28,-7.2413618,112.7263961
TPS Kalibutuh,Jl. Raya Demak,Tembok Dukuh,Bubutan,52.8,52.8,52.8,52.8,52.8,-7.2541088,112.7217094
Rukom Tambak Deres,Jl. Kyai Tambak Deres,Bulak,Bulak,8,0,0,0,0,-7.2310504,112.7792544
TPS Tambak Deres,Jl. Tambak Deres,Bulak,Bulak,14,14,14,14,14,-7.2310504,112.7792544
TPS Bukit Mas,Jl. Puncak Bukit Mas - Dukuh Pakis,Dukuh Pakis,Dukuh Pakis,8,8,8,8,8,-7.2942104,112.7121307
TPS Gunungsari Yani Golf,Jl. Golf V,Gunung Sari,Dukuh Pakis,14,14,14,14,14,-7.2997877,112.7148852
TPS Jogoloyo,Jl. Jogoloyo,Gunung Sari,Dukuh Pakis,14,14,14,14,14,-7.2997877,112.7148852
Rukom Gunungsari,Jl. Golf No. 4 Komplek Marinir Gunungsari,Gunungsari,Dukuh Pakis,14,3.3,3.3,3.3,0,-7.2997877,112.7148852
TPS Pradah Kali Kendal,Jl. Darmo Permai Selatan,Pradah Kali Kendal,Dukuh Pakis,28,28,28,28,28,-7.2844204,112.692294
TPS Dukuh Menanggal Ikip,Jl. Dukuh Menanggal XII,Dukuh Menanggal,Gayungan,14,14,14,14,14,-7.3439578,112.7281163
Rukom Gayungsari,Jl. Gayungsari IV,Gayungan,Gayungan,8,2.8,2.8,2.8,0,-7.3337207,112.7246852
TPS Gayungsari,Jl. Gayungsari No. 4,Gayungan,Gayungan,14,14,14,14,14,-7.3337207,112.7246852
TPS Kebonsari Makam,Jl. Kebonsari Makam,Kebonsari,Gayungan,14,14,14,14,14,-7.3297146,112.7222116
TPS Gayungpring,Jl. Gayungsari No. 4,Menanggal,Gayungan,14,14,14,14,14,-7.3399132,112.723408
